"trip_duration_days","miles_traveled","total_receipts_amount","expected_output","receipts_per_day","receipts_per_mile","miles_per_day","efficiency_category","efficiency_bonus_zone","efficiency_penalty_zone","spending_per_day_category","spending_efficiency","very_low_receipts","optimal_receipt_range","high_spending_flag","receipt_cents","receipt_ends_49_99","is_5_day_trip","is_sweet_spot_duration","duration_penalty_zone","very_short_trip","very_long_trip","sweet_spot_combo","vacation_penalty","high_mile_low_spend","low_mile_high_spend","efficiency_spending_interaction","duration_efficiency_interaction","duration_spending_interaction","short_high_efficiency","long_low_efficiency","medium_balanced","trip_duration_binned","miles_binned","receipts_binned","trip_duration_squared","miles_traveled_squared","receipts_squared","trip_duration_cubed","log_trip_duration","log_miles_traveled","log_receipts","total_efficiency","cost_per_mile","productivity_score","residuals"
3,93,1.42,364.51,0.473333333333333,0.0152688172043011,31,"low",0,0,"low",0.0152688172043011,1,0,0,42,0,0,0,0,0,0,0,0,0,0,14.6733333333333,93,1.42,0,0,0,"short","very_low","very_low",9,8649,2.0164,27,1.38629436111989,4.54329478227,0.883767540168595,115.289256198347,0.0152688172043011,12.8099173553719,-94.3378131920469
1,55,3.6,126.06,3.6,0.0654545454545455,55,"low",0,0,"low",0.0654545454545455,1,0,0,60,0,0,0,1,1,0,0,0,0,0,198,55,3.6,0,0,0,"very_short","very_low","very_low",1,3025,12.96,1,0.693147180559945,4.02535169073515,1.52605630349505,11.9565217391304,0.0654545454545455,11.9565217391304,-216.586956288516
1,47,17.97,128.91,17.97,0.382340425531915,47,"low",0,0,"low",0.382340425531915,1,0,0,97,0,0,0,1,1,0,0,0,0,0,844.59,47,17.97,0,0,0,"very_short","very_low","very_low",1,2209,322.9209,1,0.693147180559945,3.87120101090789,2.94285878394692,2.47759620453347,0.382340425531915,2.47759620453347,-215.673503149312
2,13,4.67,203.52,2.335,0.359230769230769,6.5,"low",0,0,"low",0.359230769230769,1,0,0,67,0,0,0,0,0,0,0,0,0,0,15.1775,13,4.67,0,0,0,"very_short","very_low","very_low",4,169,21.8089,8,1.09861228866811,2.63905732961526,1.73518911773966,4.58553791887125,0.359230769230769,1.14638447971781,-170.870001443106
3,88,5.78,380.37,1.92666666666667,0.0656818181818182,29.3333333333333,"low",0,0,"low",0.0656818181818182,1,0,0,78,0,0,0,0,0,0,0,0,0,0,56.5155555555556,88,5.78,0,0,0,"short","very_low","very_low",9,7744,33.4084,27,1.38629436111989,4.48863636973214,1.9139771019523,38.9380530973451,0.0656818181818182,4.32645034414946,-77.9188596797686
1,76,13.74,158.35,13.74,0.180789473684211,76,"low",0,0,"low",0.180789473684211,1,0,0,74,0,0,0,1,1,0,0,0,0,0,1044.24,76,13.74,0,0,0,"very_short","very_low","very_low",1,5776,188.7876,1,0.693147180559945,4.34380542185368,2.69056488676119,5.15603799185889,0.180789473684211,5.15603799185889,-197.537715463578
3,41,4.52,320.12,1.50666666666667,0.110243902439024,13.6666666666667,"low",0,0,"low",0.110243902439024,1,0,0,51.9999999999999,0,0,0,0,0,0,0,0,0,0,20.5911111111111,41,4.52,0,0,0,"short","very_low","very_low",9,1681,20.4304,27,1.38629436111989,3.73766961828337,1.708377860289,22.2826086956522,0.110243902439024,2.47584541062802,-116.741126600457
1,140,22.71,199.68,22.71,0.162214285714286,140,"medium",0,0,"low",0.162214285714286,1,0,0,71,0,0,0,1,1,0,0,0,0,0,3179.4,140,22.71,0,0,0,"very_short","low","very_low",1,19600,515.7441,1,0.693147180559945,4.94875989037817,3.16589690007731,5.90468156895825,0.162214285714286,5.90468156895825,-188.163274913788
3,121,21.17,464.07,7.05666666666667,0.17495867768595,40.3333333333333,"low",0,0,"low",0.17495867768595,1,0,0,17,0,0,0,0,0,0,0,0,0,0,284.618888888889,121,21.17,0,0,0,"short","low","very_low",9,14641,448.1689,27,1.38629436111989,4.80402104473326,3.09874002362822,16.3734776725304,0.17495867768595,1.81927529694783,-14.8173813110611
3,117,21.99,359.1,7.33,0.187948717948718,39,"low",0,0,"low",0.187948717948718,1,0,0,99,1,0,0,0,0,0,0,0,0,0,285.87,117,21.99,0,0,0,"short","low","very_low",9,13689,483.5601,27,1.38629436111989,4.77068462446567,3.13505933877509,15.2675076120052,0.187948717948718,1.69638973466725,-118.318745986093
